Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
347,8.416576924532416,28.0,31.0,28,0,2746
348,8.761313972386784,29.0,31.0,29,0,2710
349,8.366384974947318,29.0,31.0,29,0,2691
350,8.583250031148859,29.0,31.0,29,0,2704
351,8.502786448901453,29.0,31.0,29,0,2678
352,8.664326449944245,29.0,31.0,29,0,2674
353,8.77483494638768,29.0,31.0,29,0,2665
354,8.512926250132523,29.0,31.0,29,0,2648
355,8.767465240304137,31.0,31.0,31,0,2685
356,8.672662701897634,30.0,31.0,30,0,2695
357,8.522945464074807,29.0,31.0,29,0,2712
358,8.564761712938475,29.0,31.0,29,0,2698
359,8.56511047607763,29.0,31.0,29,0,2671
360,8.150500307969805,29.0,31.0,29,0,2649
361,8.575365459680874,29.0,31.0,29,0,2630
362,8.242844890878745,29.0,31.0,29,0,2586
363,8.525819321978233,30.0,31.0,30,0,2575
364,8.58385177997436,30.0,31.0,30,0,2574
365,8.77797325649269,29.0,31.0,29,0,2579
366,8.561741442898606,28.0,31.0,28,0,2586
367,8.969565110772232,30.0,31.0,30,0,2612
368,8.618768807168856,30.0,31.0,30,0,2602
369,8.544639285594766,30.0,31.0,30,0,2609
370,8.728958883014302,30.0,31.0,30,0,2600
371,8.985203428407,30.0,31.0,30,0,2594
372,8.518765630338441,30.0,31.0,30,0,2645
373,8.53113445441964,29.0,31.0,29,0,2696
374,8.083124570912144,30.0,31.0,30,0,2727
375,8.105745338537096,30.0,31.0,30,0,2754
376,8.181607328773508,30.0,31.0,30,0,2800
377,8.170310652833242,30.0,31.0,30,0,2806
378,8.321696998674982,30.0,31.0,30,0,2833
379,7.943220094359666,30.0,31.0,30,0,2848
380,7.694477574633495,30.0,31.0,30,0,2854
381,7.8320194481563075,30.0,31.0,30,0,2857
382,8.028940391723934,29.0,31.0,29,0,2842
383,7.953639075287066,29.0,31.0,29,0,2828
384,8.354654904607912,31.0,31.0,31,0,2815
385,8.348686233494151,30.0,31.0,30,0,2826
386,8.226782626115574,30.0,31.0,30,0,2821
387,8.197185293759,30.0,31.0,30,0,2785
388,8.544105414682589,30.0,31.0,30,0,2772
389,8.354380293319469,30.0,31.0,30,0,2771
390,8.190680370189357,29.0,31.0,29,0,2762
391,8.231102035453903,29.0,31.0,29,0,2747
392,8.125380804297702,30.0,31.0,30,0,2755
393,8.336856309694996,29.0,31.0,29,0,2713
