Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
1058,7.998793704806972,31.0,32.0,31,0,2834
1059,7.798263423973119,29.0,32.0,29,0,2795
1060,7.78569311857957,31.0,32.0,31,0,2778
1061,7.790421790169979,31.0,32.0,31,0,2753
1062,8.04615442625861,31.0,32.0,31,0,2736
1063,8.26068365459392,31.0,32.0,31,0,2744
1064,8.314924006506013,31.0,32.0,31,0,2715
1065,8.039374203815363,31.0,32.0,31,0,2682
1066,8.149801141561554,31.0,32.0,31,0,2648
1067,8.520113843504483,31.0,32.0,31,0,2642
1068,7.904625742010793,31.0,32.0,31,0,2662
1069,7.6905548035635105,31.0,32.0,31,0,2687
1070,7.91507706654186,31.0,32.0,31,0,2721
1071,7.558418315332119,31.0,32.0,31,0,2718
1072,7.843591448199841,31.0,32.0,31,0,2791
1073,7.859087040474284,31.0,32.0,31,0,2813
1074,7.640356878463036,31.0,32.0,31,0,2820
1075,7.767990655262211,31.0,32.0,31,0,2804
1076,7.7358806375166544,31.0,32.0,31,0,2806
1077,7.839873925453337,29.0,32.0,29,0,2820
1078,7.865010854231325,30.0,32.0,30,0,2813
1079,7.74119113017238,31.0,32.0,31,0,2816
1080,7.673350908549249,29.0,32.0,29,0,2771
1081,7.869845793146383,31.0,32.0,31,0,2771
1082,8.226905730907152,31.0,32.0,31,0,2741
1083,8.018262151996565,31.0,32.0,31,0,2763
1084,7.874133644889254,30.0,32.0,30,0,2791
1085,7.8390913698187825,30.0,32.0,30,0,2765
1086,7.858324265967615,29.0,32.0,29,0,2771
1087,8.070783452862894,29.0,32.0,29,0,2748
1088,7.919972758188959,29.0,32.0,29,0,2817
1089,7.815896617848124,29.0,32.0,29,0,2852
1090,7.738478166145386,29.0,32.0,29,0,2828
1091,7.586274703663009,30.0,32.0,30,0,2807
1092,7.9667461596618585,29.0,32.0,29,0,2779
1093,8.053506992353539,30.0,32.0,30,0,2768
1094,8.14251561158324,30.0,32.0,30,0,2784
1095,8.113186664390039,30.0,32.0,30,0,2779
1096,7.994038420059215,29.0,32.0,29,0,2783
1097,7.946322303828914,28.0,32.0,28,0,2781
1098,7.817319758337234,28.0,32.0,28,0,2738
1099,7.850701899332394,31.0,32.0,31,0,2692
1100,8.343204903591957,31.0,32.0,31,0,2649
1101,8.59485421804299,31.0,32.0,31,0,2650
1102,7.959529229289679,29.0,32.0,29,0,2714
1103,8.071397993527222,29.0,32.0,29,0,2733
1104,7.678234337019395,29.0,32.0,29,0,2737
1105,8.226550634966399,29.0,32.0,29,0,2736
1106,7.908711038143759,29.0,32.0,29,0,2699
1107,7.903758732000773,29.0,32.0,29,0,2704
1108,8.309822605763435,29.0,32.0,29,0,2726
1109,8.203152529494496,29.0,32.0,29,0,2689
1110,8.36061391827763,29.0,32.0,29,0,2680
1111,8.113530849762437,29.0,32.0,29,0,2661
1112,8.319068524819674,30.0,32.0,30,0,2654
1113,8.388150530467511,30.0,32.0,30,0,2639
1114,8.198405771341449,30.0,32.0,30,0,2637
1115,8.340917381040596,30.0,32.0,30,0,2648
1116,8.521784498456597,30.0,32.0,30,0,2665
1117,8.414385405694812,30.0,32.0,30,0,2668
1118,8.411786542497767,33.0,33.0,33,0,2655
1119,8.713991406881567,33.0,33.0,33,0,2680
1120,8.872559390118827,31.0,33.0,31,0,2666
1121,8.849130676972301,30.0,33.0,30,0,2678
1122,8.699257983036594,30.0,33.0,30,0,2703
1123,8.619301166429393,30.0,33.0,30,0,2690
1124,8.450007397963475,30.0,33.0,30,0,2665
1125,8.310459584223404,30.0,33.0,30,0,2666
1126,8.32509980265328,30.0,33.0,30,0,2658
1127,8.334160115543215,30.0,33.0,30,0,2683
1128,8.440319413627442,31.0,33.0,31,0,2698
1129,8.221922840914466,30.0,33.0,30,0,2696
1130,8.742854735340538,31.0,33.0,31,0,2690
1131,8.403514959995304,30.0,33.0,30,0,2766
1132,8.094300902015675,32.0,33.0,32,0,2789
1133,8.20229448234294,31.0,33.0,31,0,2772
1134,7.966874977064361,30.0,33.0,30,0,2796
1135,7.988926323182316,30.0,33.0,30,0,2815
1136,7.6211837325276,30.0,33.0,30,0,2837
1137,7.6514652265357945,32.0,33.0,32,0,2823
1138,7.674421244244715,32.0,33.0,32,0,2818
1139,7.912909825431423,32.0,33.0,32,0,2813
1140,7.924032825212373,31.0,33.0,31,0,2789
1141,7.674752174491254,31.0,33.0,31,0,2806
1142,8.018654099887675,31.0,33.0,31,0,2789
1143,8.114017836304177,31.0,33.0,31,0,2767
1144,8.134939125528835,31.0,33.0,31,0,2767
1145,8.006339318482048,31.0,33.0,31,0,2797
1146,7.914061264191573,31.0,33.0,31,0,2795
1147,7.565631880035148,31.0,33.0,31,0,2841
1148,7.582555352461318,31.0,33.0,31,0,2825
1149,7.7113955122223645,31.0,33.0,31,0,2840
1150,7.984017048890883,31.0,33.0,31,0,2846
1151,7.736419659189928,29.0,33.0,29,0,2838
1152,7.5655442261946755,30.0,33.0,30,0,2847
1153,7.460470984783373,30.0,33.0,30,0,2828
1154,7.667546262177334,28.0,33.0,28,0,2792
1155,7.478733179251204,29.0,33.0,29,0,2785
1156,7.9633998337563945,29.0,33.0,29,0,2760
1157,7.941252648549729,28.0,33.0,28,0,2767
1158,7.9830369830526235,29.0,33.0,29,0,2771
1159,8.250188559771198,28.0,33.0,28,0,2716
1160,7.8588974847988435,29.0,33.0,29,0,2715
1161,8.122567997426998,28.0,33.0,28,0,2691
1162,7.8549554004068325,29.0,33.0,29,0,2666
1163,8.30455814204859,29.0,33.0,29,0,2699
1164,8.383576011914917,29.0,33.0,29,0,2685
1165,8.532149031397026,29.0,33.0,29,0,2641
1166,8.40994862360784,29.0,33.0,29,0,2644
1167,8.410938752964617,29.0,33.0,29,0,2641
1168,7.86895961111971,29.0,33.0,29,0,2614
1169,8.05928490424479,29.0,33.0,29,0,2592
1170,8.09910288533695,29.0,33.0,29,0,2589
1171,8.417094476498564,29.0,33.0,29,0,2598
1172,8.574625496944057,31.0,33.0,31,0,2601
1173,8.42497584587381,31.0,33.0,31,0,2653
1174,8.53132174582229,29.0,33.0,29,0,2639
1175,8.172807455198244,30.0,33.0,30,0,2644
1176,8.380343842949046,31.0,33.0,31,0,2632
1177,8.408143136474337,31.0,33.0,31,0,2606
1178,8.513076813499406,30.0,33.0,30,0,2613
1179,8.076055866855706,29.0,33.0,29,0,2650
1180,8.157702818005882,29.0,33.0,29,0,2664
1181,7.947878434867569,30.0,33.0,30,0,2669
1182,8.177494762193977,29.0,33.0,29,0,2661
1183,8.021804509099324,32.0,33.0,32,0,2647
1184,8.416435469572528,31.0,33.0,31,0,2658
1185,8.353967929926156,31.0,33.0,31,0,2662
1186,8.50012797835603,32.0,33.0,32,0,2683
1187,8.268747411871162,32.0,33.0,32,0,2704
1188,8.082061818750253,32.0,33.0,32,0,2705
1189,8.106863574481494,32.0,33.0,32,0,2706
1190,8.23239451397108,32.0,33.0,32,0,2714
1191,8.009923319044924,31.0,33.0,31,0,2757
1192,7.917403883010027,30.0,33.0,30,0,2756
1193,7.7093073255792275,29.0,33.0,29,0,2752
1194,8.185512955782936,29.0,33.0,29,0,2737
1195,7.693620352425318,29.0,33.0,29,0,2723
1196,8.112819059380495,29.0,33.0,29,0,2721
1197,7.671377427541404,31.0,33.0,31,0,2729
1198,7.89072335303621,30.0,33.0,30,0,2733
1199,8.14891113106391,30.0,33.0,30,0,2742
1200,8.084611108047024,30.0,33.0,30,0,2772
1201,7.872550739933315,30.0,33.0,30,0,2768
1202,7.611933804904702,31.0,33.0,31,0,2749
1203,8.024045788510604,32.0,33.0,32,0,2747
1204,7.961291196067397,32.0,33.0,32,0,2755
1205,8.293229463583899,31.0,33.0,31,0,2796
1206,7.854060352756239,31.0,33.0,31,0,2795
1207,7.75159513262562,31.0,33.0,31,0,2804
1208,7.7255353640868725,31.0,33.0,31,0,2805
1209,7.579742919717701,31.0,33.0,31,0,2806
1210,7.6800052981185685,31.0,33.0,31,0,2817
1211,7.440672259241321,32.0,33.0,32,0,2807
1212,7.367346400253738,31.0,33.0,31,0,2757
1213,7.551785717912602,31.0,33.0,31,0,2740
1214,7.621933648817634,29.0,33.0,29,0,2753
1215,7.814775836564562,30.0,33.0,30,0,2758
1216,7.7454747626774285,31.0,33.0,31,0,2745
1217,7.753875881063505,31.0,33.0,31,0,2769
1218,7.826166190035734,31.0,33.0,31,0,2753
1219,7.966417798356274,29.0,33.0,29,0,2769
1220,7.551151077903368,29.0,33.0,29,0,2782
1221,7.768757947824028,29.0,33.0,29,0,2774
1222,7.666196751524914,30.0,33.0,30,0,2771
1223,7.834087042002328,29.0,33.0,29,0,2760
1224,7.825045775898905,31.0,33.0,31,0,2776
1225,7.922649674608312,31.0,33.0,31,0,2798
1226,8.067658066262245,31.0,33.0,31,0,2771
1227,7.831922980812338,31.0,33.0,31,0,2776
1228,7.97743212146497,31.0,33.0,31,0,2781
1229,7.73572010561476,31.0,33.0,31,0,2803
1230,7.954548076222679,30.0,33.0,30,0,2815
1231,8.017732217793668,30.0,33.0,30,0,2810
1232,7.737960883241641,30.0,33.0,30,0,2857
1233,7.592767052388892,30.0,33.0,30,0,2863
1234,7.6472939292207265,30.0,33.0,30,0,2846
1235,7.753218076622365,30.0,33.0,30,0,2856
1236,7.883819756286792,31.0,33.0,31,0,2839
1237,7.843518468298638,31.0,33.0,31,0,2829
1238,7.936285996704134,30.0,33.0,30,0,2810
1239,8.119348354996433,31.0,33.0,31,0,2823
1240,7.490709188886603,31.0,33.0,31,0,2828
1241,7.979055856438349,31.0,33.0,31,0,2809
1242,8.126702220739428,31.0,33.0,31,0,2799
1243,7.893654930270337,31.0,33.0,31,0,2794
1244,8.076198416686468,31.0,33.0,31,0,2798
